source_path,source_product_identifier,sku,current_product_id,in_current_keep_set,image_reference_count,valid_image_count,image_complete,exclusion_reason
newel.com/product/pair-of-warren-bacon-mid-century-american-brass-and-wood-horseshoe-cantilever-barstools.html,Pair of Warren Bacon Mid-Century American Brass and Wood Horseshoe Cantilever Barstools,DUF0877,product-duf0877,yes,81,81,yes,
newel.com/product/pair-of-warren-bacon-mid-century-american-chrome-and-wood-cantilever-bar-stools.html,Pair of Warren Bacon Mid-Century American Chrome and Wood Horseshoe Cantilever Bar Stools,DUF0880,product-duf0880,yes,70,70,yes,
newel.com/product/pair-russian-karelian-birch-arm-chairs.html,Pair Russian Karelian Birch arm chairs,064206,product-064206,yes,78,7,yes,
newel.com/product/paolo-buffa-italian-mid-century-brown-rectangle-wall-mirror.html,Paolo Buffa Italian Mid-Century Brown Rectangle Wall Mirror,REG4967A,product-reg4967a,yes,48,41,yes,
newel.com/product/papua-new-guinean-carved-wood-and-cowrie-shell-mask-figure.html,Papua New Guinean Carved Wood and Cowrie Shell Mask / Figure,GRS6314,product-grs6314,yes,60,60,yes,
newel.com/product/REG5109.html,Pair of Stone and Obelisk Architectural Elements,REG5109,product-reg5109,yes,90,90,yes,
newel.com/product/reg5129.html,Dutch Repouse Glass and Brass Mirror,REG5129,product-reg5129,yes,60,56,yes,
newel.com/product/REG5138.html,Giltwood Miror Louis XV,REG5138,product-reg5138,yes,42,41,yes,
newel.com/product/REG5154.html,John Dickinson Style White Lacquer Mirror,REG5154,product-reg5154,yes,54,7,yes,
newel.com/product/REG5196.html,Baltic Neoclassic Mirror 19th c,REG5196,product-reg5196,yes,42,8,yes,
newel.com/product/REG5565.html,Pair of Italian Baroque Silver Gilt and Painted Hand Form Reliquaries,REG5565,product-reg5565,yes,78,78,yes,
newel.com/product/REG5573.html,"Large Italian Modern Walnut and Brass Mirror, Attributed to Giovanni Michelucci",REG5573,product-reg5573,yes,36,0,yes,
newel.com/product/renaissance-polychromed-kneeling-figures.html,Pair of Renaissance Polychromed Kneeling Figures,034018,product-034018,yes,72,68,yes,
newel.com/product/renaissance-polychromed-winged-figures.html,Pair of Renaissance Polychromed Winged Figures,034018A,product-034018a,yes,60,56,yes,
newel.com/product/renaissance-walnut-devil-figures.html,Pair of Renaissance Walnut Devil Figures,044095,product-044095,yes,90,86,yes,
